date_created,borough,block,lot,current_uses,total_area,structure_completed,number_structures,total_gross_area_structures,ratio_building_to_floor_area,allowable_building_to_floor_area,land_use_category,community_board,census_tract,census_block,school_dist,council_district,fire_comp,police_prct,major_use,number_of_easements,commercial_floor_area,residential_floor_area,office_floor_area,retail_floor_area,garage_floor_area,storage_floor_area,factory_floor_area,other_floor_area,num_floors,residential_units,residential_and_non-residential_units,lot_front,lot_depth,bldg_front,bldg_depth,proximity_code,irr_lot_code,lot_type_code,bsmt_code,assess_land,exempt_land,exempt_tot,year_alter_1,year_alter_2,zone_dist_1,bin,structure_completed_2,new_zone_dist,assess_range
2013-12-11,1,94,2,PARK,5881,0,0,0,0.0,6.02,9,101,15.01,2004,2,1,E006,1,Q1,0,0,0,0,0,0,0,0,0,0.0,0,0,92.05,76.01,0.0,0.0,0,Y,3,5,611550.0,611550.0,623250.0,0,0,R8,1000000,No,Residential,high
2013-12-11,1,94,25,"OFFICE, AGCY EXECUTVE OFFICE, AGCY OFFICE, SENIOR CENTER, CUSTODIAL",95255,1970,1,655775,6.88,10.0,5,101,15.01,2003,2,1,E006,1,O1,0,655775,0,655775,0,0,0,0,0,10.0,0,1,232.17,330.83,184.0,295.0,1,Y,3,2,15345000.0,15345000.0,44433000.0,0,0,C6-4,1001289,Yes,Commercial,high
2013-12-11,1,95,43,TRANSIT SUBSTATION,0,0,1,0,0.0,10.0,7,101,15.01,3017,2,1,E006,1,U7,0,0,0,0,0,0,0,0,0,0.0,0,0,49.67,100.33,0.0,0.0,0,Y,5,5,0.0,0.0,0.0,0,0,C6-4,1001291,No,Commercial,low
2013-12-11,1,96,1,"NO USE, FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",33348,1983,1,128123,3.84,6.02,5,101,15.01,3008,2,1,E006,1,K9,0,128123,0,0,128123,0,0,0,0,3.0,0,37,203.33,170.0,203.0,145.0,1,Y,1,0,5400000.0,5400000.0,19074600.0,0,0,C6-2A,1001318,Yes,Commercial,high
2013-12-11,1,96,5,"NO USE, FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",24165,1983,12,80000,3.31,6.02,5,101,15.01,3009,2,1,E006,1,K9,0,80000,0,60000,20000,0,0,0,0,4.0,0,0,62.08,205.75,23.42,77.33,0,Y,3,5,1800000.0,1800000.0,7547400.0,1983,0,C6-2A,1082013,Yes,Commercial,high
2013-12-11,1,96,8,"NO USE, FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",1455,1980,1,4960,3.41,6.02,5,101,15.01,3009,2,1,E006,1,K9,0,4960,0,3505,1455,0,0,0,0,4.0,0,2,20.08,72.5,20.0,73.0,3,Y,5,0,198000.0,198000.0,357750.0,0,0,C6-2A,1001319,Yes,Commercial,high
2013-12-11,1,96,12,"NO USE, FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",2896,1983,1,11500,3.97,6.02,5,101,15.01,3009,2,1,E006,1,K9,1,11500,0,5750,5750,0,0,0,0,4.0,0,2,51.0,83.0,48.0,99.0,2,Y,3,0,612000.0,612000.0,1340100.0,0,0,C6-2A,1001320,Yes,Commercial,high
2013-12-11,1,97,7,"NO USE, FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",1290,1900,1,4772,3.7,6.02,6,101,15.01,3006,2,1,E006,1,L8,0,4772,0,0,0,0,4772,0,0,4.5,0,2,16.67,80.08,17.0,81.0,3,Y,5,0,106650.0,106650.0,335250.0,0,0,C6-2A,1001328,Yes,Commercial,medium
2013-12-11,1,106,22,PARK,4034,0,0,0,0.0,6.02,9,101,15.01,3002,2,1,E006,1,Q1,0,0,0,0,0,0,0,0,0,0.0,0,0,11.75,261.92,0.0,0.0,0,Y,3,5,408600.0,408600.0,408600.0,0,0,C6-2A,1000000,No,Commercial,high
2013-12-11,1,108,4,OUTDOOR STRG-EQUIP,82775,0,0,0,0.0,10.0,11,101,15.01,3001,2,1,E006,5,V9,0,0,0,0,0,0,0,0,0,0.0,0,0,118.83,691.5,0.0,0.0,0,Y,5,5,9381420.0,9381420.0,9381420.0,0,0,C6-4,1000000,No,Commercial,high
